Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,Open_Growth,Close_Growth,High_Growth,Low_Growth,Volume_Growth,landmark,ground_truth
2/21/2014,16.44549942,16.73730723,16.42514797,16.68157525,278784800,45.96685989,0.008857012,-0.057808478,0.06666549,-0.000375392,-0.011108116,-0.00452531,-0.00831771,-0.088515586,-,-
2/24/2014,16.51750565,16.59171125,16.35688792,16.37974421,288909600,47.63322718,-0.000985881,-0.046443959,0.045458078,-0.018093678,0.004378476,-0.008698889,-0.004155826,0.036317618,-,-
2/25/2014,16.34562111,16.5807572,16.31243274,16.57480945,231952000,44.13427531,-0.0223979,-0.041634747,0.019236847,0.011908931,-0.010406204,-0.000660212,-0.002717826,-0.197146789,-,-
2/26/2014,16.19814873,16.4376691,16.1433565,16.39414867,276217200,41.32920602,-0.050682631,-0.043444324,-0.007238307,-0.01089972,-0.009022134,-0.008629769,-0.01036487,0.19083776,-,-
2/27/2014,16.52126884,16.55602232,16.15744759,16.19157569,301882000,48.98060556,-0.046489489,-0.044053357,-0.002436132,-0.012356419,0.019947966,0.007200122,0.000872873,0.092915286,-,-
2/28/2014,16.47649002,16.68031713,16.34749221,16.56540865,371968800,48.04549079,-0.046246569,-0.044491999,-0.00175457,0.023088115,-0.002710374,0.007507529,0.011762044,0.232166211,-,-
3/3/2014,16.524086,16.61457144,16.36910163,16.38820065,238781200,49.15660215,-0.041732391,-0.043940078,0.002207687,-0.010697472,0.002888721,-0.003941513,0.00132188,-0.358061214,-,-
3/4/2014,16.6330471,16.6768819,16.52440234,16.62553424,259140000,51.70307891,-0.029028004,-0.040957663,0.011929659,0.014481979,0.006594078,0.00375035,0.009487431,0.085261319,-,-
3/5/2014,16.66810989,16.74293921,16.56697803,16.62302436,200062800,52.52704822,-0.01594659,-0.035955448,0.020008858,-0.000150966,0.00210802,0.003961011,0.002576534,-0.227974068,-,-
3/6/2014,16.61770439,16.73323831,16.53473347,16.68157628,185488800,51.17538386,-0.009536843,-0.030671727,0.021134884,0.003522339,-0.003024068,-0.000579403,-0.001946315,-0.072847126,-,-
3/7/2014,16.60799599,16.65621342,16.47054554,16.62834744,220729600,50.90368383,-0.005180739,-0.02557353,0.020392791,-0.003190876,-0.000584221,-0.004603107,-0.003882006,0.18998883,-,-
3/10/2014,16.62302589,16.69848227,16.54224547,16.54287252,178584000,51.33445171,-0.00050983,-0.02056079,0.020050959,-0.005140313,0.00090498,0.002537723,0.004353222,-0.19093769,-,-
3/11/2014,16.78489685,16.86786776,16.67531237,16.76485976,279224400,55.829403,0.016068306,-0.013234971,0.029303277,0.013418905,0.009737755,0.010143766,0.008044065,0.563546566,-,-
3/12/2014,16.80117416,16.82434314,16.65683625,16.7354245,199326400,56.26683719,0.030172235,-0.004553529,0.034725765,-0.001755771,0.00096976,-0.002580327,-0.001107993,-0.286142615,-,-
3/13/2014,16.61457253,16.89667363,16.5679202,16.82716668,257742800,50.13692104,0.025992878,0.001555752,0.024437126,0.005481915,-0.011106464,0.004299157,-0.005338112,0.293069057,-,-
3/14/2014,16.42796898,16.62208951,16.37505453,16.55633814,237199200,44.8722743,0.007536485,0.002751899,0.004784587,-0.01609472,-0.011231318,-0.01625078,-0.01164091,-0.079705815,-,-
3/17/2014,16.49215126,16.59328147,16.46428527,16.52220941,199544800,46.93618081,-0.001889584,0.001823602,-0.003713186,-0.00206137,0.003906891,-0.001733118,0.005449188,-0.158745898,-,-
3/18/2014,16.63804817,16.65589477,16.44392774,16.46584429,209647200,51.39120843,0.002385354,0.001935953,0.000449401,-0.003411475,0.008846445,0.003773413,-0.001236466,0.050627228,-,-
3/19/2014,16.6336689,16.78959132,16.56290786,16.66497946,224756000,51.25211576,0.005358136,0.002620389,0.002737747,0.012093833,-0.000263208,0.008026981,0.007235505,0.07206774,-,-
3/20/2014,16.55351448,16.67781531,16.51124648,16.59077279,208398400,48.6563521,0.001232093,0.00234273,-0.001110637,-0.004452851,-0.004818806,-0.006657458,-0.003119101,-0.07277937,-,-
3/21/2014,16.68407822,16.71163151,16.47931297,16.65464712,374046400,52.84577093,0.008400738,0.003554332,0.004846407,0.003849991,0.007887373,0.002027616,-0.001934046,0.794862149,-,-
3/24/2014,16.88195992,16.92297551,16.75264935,16.85785119,355700800,58.38765002,0.029706898,0.008784845,0.020922053,0.012201043,0.011860511,0.012646521,0.016586637,-0.049046322,-,-
3/25/2014,17.06355667,17.0873527,16.89448294,16.95428654,282293200,62.71799769,0.060547569,0.01913739,0.041410179,0.005720501,0.010756853,0.009713256,0.008466337,-0.206374571,-,-
3/26/2014,16.90043068,17.18910825,16.87162663,17.11145972,299768000,56.98165192,0.071007587,0.029511429,0.041496158,0.009270409,-0.009559906,0.005955021,-0.001352886,0.061903014,-,-
3/27/2014,16.82779312,16.95428615,16.7545289,16.90794651,222031600,54.58746097,0.072599106,0.038128964,0.034470141,-0.011893387,-0.004297971,-0.013661099,-0.006940512,-0.259321876,-,-
3/28/2014,16.80900002,16.8741243,16.72728155,16.85471259,200564000,53.95580021,0.071519516,0.044807075,0.026712442,-0.003148455,-0.00111679,-0.004728117,-0.001626267,-0.096687138,-,^
3/31/2014,16.80524635,16.93267741,16.77988355,16.88320756,168669200,53.82183538,0.06955921,0.049757502,0.019801708,0.001690623,-0.000223313,0.003469994,0.003144683,-0.159025548,-,^
4/1/2014,16.95897484,16.965864,16.80618266,16.83717886,200760000,58.37951371,0.079493901,0.055704782,0.023789119,-0.0027263,0.009147648,0.001959914,0.0015673,0.190258802,-,^
4/2/2014,16.98716354,17.01628196,16.91546442,16.98184116,180420800,59.17519041,0.088620249,0.062287875,0.026332374,0.008591837,0.00166217,0.00297173,0.006502473,-0.101311018,^,^
4/3/2014,16.86942863,16.98558787,16.83342275,16.95083441,162344000,54.48966367,0.085368645,0.066904029,0.018464616,-0.001825877,-0.006930816,-0.001803807,-0.004850098,-0.100192439,-,v
4/4/2014,16.65120697,16.90732161,16.61238353,16.90137385,275251200,47.05292269,0.064440235,0.06641127,-0.001971036,-0.002917883,-0.012935925,-0.004607804,-0.013130973,0.6954812,-,v
4/7/2014,16.38976669,16.62239961,16.34029851,16.53222685,289850400,40.00802134,0.026453335,0.058419683,-0.031966348,-0.021841243,-0.015700981,-0.016851989,-0.016378446,0.053039551,-,v
4/8/2014,16.38883209,16.47274276,16.24042248,16.44362434,243888400,39.98497386,-0.003684498,0.045998847,-0.049683345,-0.005359381,-5.70E-05,-0.009003324,-0.006112252,-0.158571456,v,v
4/9/2014,16.60423851,16.60956089,16.34436668,16.3637784,206169600,47.49277304,-0.010071354,0.034784807,-0.04485616,-0.004855739,0.013143488,0.008305729,0.006400339,-0.154655982,-,v
4/10/2014,16.39007568,16.66434947,16.38036899,16.615505,239652000,41.88282601,-0.032044741,0.021418897,-0.053463639,0.015383159,-0.012898082,0.003298617,0.002202735,0.162402216,-,v
4/11/2014,16.26891327,16.36973079,16.19157742,16.24981257,271717600,39.0709648,-0.058560554,0.005423007,-0.063983561,-0.022009108,-0.007392426,-0.017679579,-0.011525478,0.133800678,-,v
4/14/2014,16.33372307,16.34875047,16.19376777,16.34061056,205674000,41.33957836,-0.073497682,-0.010361131,-0.063136551,0.005587633,0.003983659,-0.001281654,0.000135277,-0.243059706,-,-
4/15/2014,16.2172451,16.33246461,16.0096607,16.28957124,266490000,38.56070369,-0.093654669,-0.027019839,-0.066634831,-0.003123465,-0.007131134,-0.000996153,-0.011369007,0.29569124,-,-
4/16/2014,16.2501297,16.31525402,16.09765013,16.22007155,214765600,39.79124446,-0.105756618,-0.042767194,-0.062989424,-0.004266514,0.002027755,-0.001053765,0.00549602,-0.194095088,-,-
4/17/2014,16.43579102,16.52408597,16.25607255,16.281121,284334400,46.32731416,-0.099222409,-0.054058237,-0.045164172,0.003763822,0.011425221,0.012799798,0.009841339,0.323928972,-,-
4/21/2014,16.63084984,16.66121899,16.40510447,16.4483122,182548800,52.19851901,-0.077412027,-0.058728995,-0.018683032,0.010269023,0.01186793,0.008298977,0.009167769,-0.357978493,-,-
