Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,Open_Growth,High_Growth,Low_Growth,Close_Growth,Volume_Growth,landmark,ground_truth
2014-02-20,31.72467803955078,31.825523800587447,31.43054323409844,31.57340779508131,27526100,62.751344202588946,0.2777034518744159,0.14689621957623358,0.13080723229818234,0.00940331428394292,0.003178589937927967,0.005106029917651744,0.006398148498302003,-0.07476538130579757,-,-
2014-02-21,31.917972564697266,32.22891558468683,31.817126786344065,31.884356236636368,38021300,64.73818847489949,0.3194612837407256,0.181409232409132,0.13805205133159357,0.009848428258779851,0.012675102745423938,0.012299614084500643,0.006092875864823766,0.381281765306382,-,-
2014-02-24,31.674251556396484,31.917965068858354,31.548195164516326,31.674251556396484,32085100,60.36595452362487,0.3290948176320363,0.21094634945371288,0.11814846817832342,-0.006589585145785892,-0.009648184252783909,-0.008452416952468678,-0.007635854934293307,-0.15612827546664632,-,-
2014-02-25,31.548202514648438,31.808721042060544,31.388526559571872,31.607029485730493,30736500,58.17754058112131,0.32283689563955065,0.23332445869088045,0.0895124369486702,-0.0021222938937105473,-0.0034226501145085964,-0.005061101090310216,-0.003979542863818408,-0.04203197122651947,-,-
2014-02-26,31.489368438720703,31.71627379276819,31.254057401655473,31.581811716943246,41041800,57.13636475122908,0.30956159576357223,0.2485718861054188,0.060989709658153424,-0.0007978531737261596,-0.002906349147773324,-0.004284022624037265,-0.0018648947083567124,0.335278902932995,-,-
2014-02-27,31.81712532043457,31.842335962403965,31.287679398271813,31.47256598825898,33903400,61.292342169066494,0.32177880043320073,0.2632132689709752,0.05856553146222554,-0.003459134316403212,0.00397468411514712,0.0010757642178822469,0.010408493341226954,-0.1739299933238796,-,-
2014-02-28,32.19530487060547,32.32136130151838,31.78351283563192,31.917974952103535,41215000,65.45439754875252,0.35785185880129333,0.2821409869370388,0.07571087186425451,0.01415229263513873,0.015043661987612866,0.01584756194438297,0.011886037671920313,0.2156597863341141,-,-
2014-03-03,31.749900817871094,32.04403894161556,31.50619040266931,31.867554785036813,29717500,57.599023195299054,0.346505334982087,0.29501385654604845,0.051491478436038574,-0.001579679385749988,-0.008580157169611247,-0.008725355010214875,-0.013834441218198656,-0.27896396942860613,-,-
2014-03-04,32.27933883666992,32.33816580560173,31.993606470788556,32.102857929874496,26802400,63.24557518195131,0.37590120146686345,0.31119132553021145,0.064709875936652,0.007383784116005376,0.009178832435014606,0.015470485701056136,0.016675265281484775,-0.09809371582400939,-,-
2014-03-05,32.027217864990234,32.16167994552982,31.875947623654586,32.14487178473376,20520100,59.20237599687228,0.37453616235123377,0.3238602928944159,0.050675869456817846,0.001308726311876507,-0.0054575099012369455,-0.003677573744035323,-0.007810599001280449,-0.2343931886696714,-,-
2014-03-06,32.06083679199219,32.136471918806464,31.842333889715768,32.05243110799664,23582200,59.57350139616823,0.3718803206129202,0.3334642984381168,0.03841602217480339,-0.0028757519195028447,-0.000783790733756673,-0.0010545171655971242,0.001049698638941221,0.14922441898431305,-,-
2014-03-07,31.850738525390625,32.23731662490478,31.67425443141327,32.170083978469776,26591600,56.13668841061925,0.34880160487123746,0.336531759724741,0.012269845146496483,0.0036706379643003384,0.0031380142273582656,-0.005278490542955483,-0.006553112383331117,0.1276131997862795,-,-
2014-03-10,31.783498764038086,31.94317145483402,31.699461180635662,31.926366502816183,19006600,55.04225987463397,0.32138118730337695,0.33350164524046816,-0.012120457937091211,-0.007575904241241771,-0.009124368926026527,0.000795811919645173,-0.002111089552882306,-0.28524045187201974,-,-
2014-03-11,31.95158576965332,32.128066665978686,31.69946974549864,31.82552615466139,25216400,57.284189277957275,0.30964414051377886,0.3287301442951303,-0.019086003781351446,-0.0031585288023896485,0.0057882546636327525,2.7018954451563104e-07,0.005288499131675728,0.32671808740121855,-,-
2014-03-12,32.16168212890625,32.296144218574135,31.7582958599026,31.766698337956612,30494100,59.97114028926467,0.31367956396075414,0.3257200282282551,-0.012040464267500939,-0.0018484475769197095,0.005231486673097363,0.0018557444296780634,0.006575459533294081,0.20929633095921707,-,-
2014-03-13,31.842327117919922,32.312945940882706,31.632229944319683,32.287732100087325,32169700,54.37240972689581,0.28779091120992106,0.3181342048245883,-0.030343293614667255,0.016401885918000847,0.0005202392643177678,-0.003969542828715977,-0.009929673756065682,0.054948334267940435,-,-
2014-03-14,31.682659149169922,32.05242907580153,31.522983221669623,31.64064034934366,27195600,51.770122657615666,0.2514910642688406,0.3048055767134388,-0.05331451244459817,-0.020041412284324434,-0.008062306221097937,-0.003453652266765861,-0.005014331024196572,-0.1546206523529905,-,-
2014-03-17,31.97678565979004,32.27932606939386,31.758286033869553,31.850729293007177,20479600,55.95228652541953,0.24364810168049544,0.2925740817068501,-0.048925980026354676,0.006639844874943401,0.007078932865142384,0.0074644842636015785,0.00928351718317888,-0.24695171277706685,-,-
2014-03-18,33.23738098144531,33.531519025496976,32.11966539037104,32.153278510575525,64063900,68.5425456151207,0.3352870244378465,0.30111667025304945,0.03417035418479708,0.009498972999490318,0.03879241324342275,0.011379057299127693,0.03942220256492002,2.1281812144768453,-,-
